"";"species";"range_size"
"592";"Candiacervus_dorothensis";0
"593";"Candiacervus_major";0
"594";"Candiacervus_rethymnensis";0
"595";"Candiacervus_ropalophorus";0
"596";"Candiacervus_spII";0
"597";"Canis_adustus";12348200,6132887
"598";"Canis_aureus";31056748,9029545
"599";"Canis_dirus";0
"600";"Canis_latrans";19677034,6122767
"601";"Canis_lupus";61033263,0614585
"602";"Canis_mesomelas";7515081,36872093
"603";"Canis_rufus";37249,4739465721
"604";"Canis_simensis";102436,053353073
"605";"Cannomys_badius";1638976,85364917
"606";"Cansumys_canus";270058,686112648
"607";"Caperea_marginata";76594230,802639
"608";"Capra_aegagrus";2616775,54474669
"609";"Capra_caucasica";74498,9478931443
"610";"Capra_cylindricornis";111748,421839716
"611";"Capra_falconeri";363182,370979078
"612";"Capra_ibex";223496,843679433
"613";"Capra_nubiana";884675,006231088
"614";"Capra_pyrenaica";372494,739465721
"615";"Capra_sibirica";3101018,70605213
"616";"Capra_walie";18624,7369732861
"617";"Capreolus_capreolus";8781563,48290438
"618";"Capreolus_miyakoensis";0
"619";"Capreolus_pygargus";14136175,3627241
"620";"Capricornis_crispus";400431,844925651
